ad_id,Unique ID,segment,scrape_date,created_date,updated_date,Estate,saleable_area_ft2,gross_area_ft2,price_hkdm,rent_hkd,Duplicated,pricechange,latest_date_filter
2778602,27786022023-09-21,Residential,2023-09-21,2023-09-06,2023-09-06,Ocean Wings New Territories Tseung Kwan O Block and Unit: 5 seats D Building age: 6 Year Show more info about the Estate Ocean Wings,515.0,,8.8,,N,False,Y
2785753,27857532023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,The Regalia Kowloon Yau Ma Tei Block and Unit: Block 3B Building age: 28 Year Show more info about the Estate The Regalia,791.0,995.0,13.0,,N,False,Y
2785790,27857902023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,"City One Shatin Phase 5 New Territories Shatin Block and Unit: Low Floor,BLOCK 48,5期 Building age: 36 Year Show more info about the Estate City One Shatin",284.0,,4.2,,N,False,Y
2785789,27857892023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,Highland Park New Territories Kwai Chung Block and Unit: 5 seats D Building age: 25 Year Show more info about the Estate Highland Park,487.0,617.0,5.5,,N,False,Y
2785781,27857812023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,Kornhill HK Island Quarry Bay Block and Unit: Block E (Room 9-16) Room 13 Building age: 36 Year Show more info about the Estate Kornhill,596.0,748.0,9.0,,N,False,Y
2785780,27857802023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,"City Point New Territories Tsuen Wan Block and Unit: Room A, Tower 7 Building age: 8 Year Show more info about the Estate City Point",664.0,,9.38,,N,False,Y
2785779,27857792023-09-21,Residential,2023-09-21,2023-09-13,2023-09-14,Allway Gardens New Territories Tsuen Wan Block and Unit: Tower D 6 Building age: 45 Year Show more info about the Estate Allway Gardens,441.0,505.0,4.0,,N,False,Y
2785774,27857742023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,"Southorn Garden HK Island Wan Chai Block and Unit: Mid Floor,Southorn Garden Building age: 35 Year Show more info about the Estate Southorn Garden",591.0,,10.5,,N,False,Y
2785773,27857732023-09-21,Residential,2023-09-21,2023-09-13,2023-09-14,Village New Territories Sai Kung Block and Unit: full layer,,1400.0,12.8,,N,False,Y
2785761,27857612023-09-21,Residential,2023-09-21,2023-09-13,2023-09-14,Tin Po House Kowloon Mong Kok Block and Unit: high-rise Building age: 43 Year Show more info about the Estate Tin Po House,616.0,,5.0,,N,False,Y
2785757,27857572023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,Village New Territories Sai Kung Block and Unit: full layer,,700.0,6.38,,N,False,Y
2785755,27857552023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,"Cetus‧square Mile Kowloon Tai Kok Tsui Block and Unit: Mid Floor,TOWER 2 Building age: 4 Year Show more info about the Estate Cetus‧square Mile",248.0,,5.09,,N,False,Y
2785750,27857502023-09-21,Residential,2023-09-21,2023-09-13,2023-09-13,"City Point New Territories Tsuen Wan Block and Unit: Room A, Tower 6 Building age: 8 Year Show more info about the Estate City Point",896.0,,13.0,,N,False,Y
2785749,27857492023-09-21,Residential,2023-09-21,2023-09-13,2023-09-20,"Konwall Court Kowloon Tai Kok Tsui Block and Unit: High Floor,Konwall Court Building age: 26 Year Show more info about the Estate Konwall Court",,213.0,3.5,,N,False,Y
